user_id,follower_len,follows_len,tweets_len
12,154,465,
13,105,367,
14,6,10,
17,1,3,
20,265,543,
47,37,32,
66,2,8,
107,21,8,
190,4,2,
224,32,42,
246,10,18,
257,5,2,
265,13,16,
291,36,99,
295,86,85,
380,16,21,
409,14,46,
414,27,8,
418,126,92,
422,40,220,
528,72,46,
573,19,81,
586,116,24,
633,13,195,
648,30,27,
746,42,41,
760,6,18,
761,30,11,
765,84,15,
767,179,94,
785,39,240,
821,55,27,
849,10,51,
885,57,8,
897,43,38,
922,73,40,
929,9,70,
939,38,12,
949,18,24,
989,123,5,
997,6,238,
1004,20,14,
1075,26,12,
1081,128,31,
1084,146,4,
1103,10,87,
1186,49,86,
1192,27,7,
1378,120,32,
1495,2,17,
1501,4,32,
1585,22,4,
1966,25,10,
1991,15,6,
2038,14,33,
2112,12,12,
2172,317,17,
2187,23,14,
2355,1,21,
2372,2,548,
2391,25,10,
2426,88,2,
2565,7,5,
2627,16,22,
2691,69,6,
2705,6,130,
2900,20,8,
2984,19,6,
2986,4,65,
3032,23,12,
3249,3,11,
3302,44,41,
3382,16,5,
3471,120,39,
3475,105,5,
3476,15,39,
3526,39,13,
3715,17,121,
3839,108,157,
3840,575,17,
3860,40,43,
4488,55,21,
4558,45,182,
4791,96,357,
4816,17,46,
4833,90,3,
5017,22,77,
5215,1,8,
5242,14,83,
5334,18,53,
5374,57,92,
5471,46,242,
5517,81,54,
5525,13,5,
5699,3,7,
5702,51,14,
5737,10,53,
5791,18,12,
5827,59,1,
5841,35,41,
5909,1,3,
5976,69,8,
6095,32,114,
6104,6,8,
6140,47,11,
6438,2,52,
6463,1,35,
6532,21,7,
6579,4,58,
6587,56,14,
6664,6,21,
6735,72,29,
6743,7,9,
6856,16,4,
7482,67,16,
7632,11,10,
7846,419,75,
8291,35,15,
8557,40,72,
8584,90,17,
8881,24,34,
8882,19,82,
9027,1,8,
9263,1,582,
9272,10,33,
10191,10,14,
10202,27,91,
10203,47,14,
10212,1,16,
10213,9,53,
10221,3,2,
10230,28,7,
10237,42,18,
10241,147,15,
10297,28,258,
10350,350,79,
10367,28,2,
10416,4,3,
10437,7,6,
10441,78,16,
10450,199,37,
10508,2,172,
10519,35,110,
10545,87,1120,
10609,5,112,
10625,26,4,
10638,8,16,
10668,2,6,
10725,40,50,
10859,27,189,
10877,44,2,
10923,32,73,
11041,33,1,
11113,198,117,
11222,114,11,
11250,78,21,
11294,29,4,
11334,5,3,
11336,1,29,
11489,28,18,
11525,8,52,
11533,16,9,
11627,4,19,
11628,66,168,
11661,50,117,
11672,9,170,
11677,26,46,
11682,28,3,
11718,42,2,
11752,36,39,
11818,79,16,
11900,4,7,
11969,10,16,
11994,13,5,
12028,21,116,
12108,6,151,
12112,4,7,
12158,77,57,
12161,62,26,
12196,13,53,
12223,69,15,
12249,81,37,
12320,37,4,
12329,9,14,
12376,13,8,
12491,75,6,
12496,36,20,
12497,38,7,
12506,50,4,
12512,11,107,
12513,7,66,
12514,15,29,
12528,39,295,
12530,7,65,
12533,7,10,
12534,104,9,
12539,21,14,
12543,44,5,
12551,9,98,
12555,103,28,
12587,46,35,
12591,108,68,
12616,32,13,
12622,1,6,
12628,26,20,
12661,81,47,
12685,25,14,
12707,35,4,
12715,20,291,
12725,16,14,
12741,183,29,
12759,2,29,
12773,19,113,
12815,39,45,
12830,57,162,
12831,244,45,
12881,13,5,
12912,38,11,
12916,40,70,
12925,4,30,
12938,39,39,
13029,57,25,
13035,21,22,
13040,5,240,
13046,41,2,
13055,17,15,
13078,26,128,
13116,26,14,
13117,20,112,
13124,23,16,
13165,17,5,
13166,105,24,
13192,14,50,
13234,47,11,
13341,64,45,
13348,659,71,
13364,20,23,
13405,10,3,
13409,21,24,
13420,3,4,
13461,32,20,
13479,20,24,
13567,41,9,
13569,29,30,
13574,2,44,
13579,7,53,
13607,31,41,
13666,35,42,
13669,1,14,
14013,10,1,
14503,63,51,
14733,23,436,
14763,140,8,
15023,4,6,
15153,68,19,
15383,96,4,
15403,35,76,
15543,3,24,
15633,12,49,
15683,16,11,
15913,6,2,
16023,39,2,
16133,47,26,
16273,40,14,
16353,3,3,
16713,1,10,
17053,109,71,
17073,79,45,
17313,16,217,
17673,75,21,
17743,9,81,
18673,72,43,
18713,7,33,
19223,23,12,
19903,47,27,
19983,18,11,
20783,13,2133,
21393,11,49,
